id,classification,code,description,distributed_to,implanted,name,number,quantity_in_commerce,risk_class,slug,country,manufacturer_id,created_at,updated_at,device_type,device_age_years,is_implanted,quantity_in_commerce_log,risk_class_clean,risk_class_encoded,manufacturer_device_count,manufacturer_name,parent_company,previous_event_count,events_last_1_year,events_last_3_years,events_last_5_years,previous_recall_count,previous_high_severity_event_count,days_since_last_event,recent_event_frequency,manufacturer_event_count,manufacturer_recall_count,manufacturer_event_rate,future_event,device_id,temperature,vibration,power_consumption,voltage,operating_hours,error_rate,battery_health,health_score,rolling_temp_mean_5,rolling_vib_mean_5,rolling_power_mean_5,temperature_change_rate,vibration_change_rate,power_change_rate,voltage_variability,telemetry_failure_label,telemetry_anomaly_score,failure_risk_score,risk_level,anomaly_score,maintenance_priority_score,priority_level
11,,,,,,Access CEA,,0.0,,tur-access-cea,TUR,10,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIA,2,1,"Beckman Coulter, Inc.",Danaher Corporation,1.0,1.0,1.0,1.0,1.0,1.0,70.0,1.0,1.0,1.0,1.0,0,11,48.48,1.945,178.47,228.37,1353,11.72,56.4,0.0,47.522000000000006,1.7540000000000002,166.77,0.45999999999999375,0.09699999999999998,16.819999999999993,4.20251948240575,1,72.5,4.0,LOW,72.5,29.2,LOW
12,,,IVD Other,,,CD 22 (S-HCL-1) APC,,0.0,,tur-cd-22-s-hcl-1-apc,TUR,11,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,IVD Other,2,1,Beckton Dickinson,"Becton, Dickinson and Company",1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,1.0,0,12,36.57,0.183,113.46,220.83,622,0.14,88.0,95.1,36.278000000000006,0.18080000000000002,113.822,0.240000000000002,0.03,-1.240000000000009,0.782483226657281,0,32.8,1.5,LOW,32.8,18.3,LOW
13,,,IVD Other,,,FMC7 FITC,,0.0,,tur-fmc7-fitc,TUR,12,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,IVD Other,2,1,Becton Dickinson,"Becton, Dickinson and Company",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,13,48.19,1.844,174.48,227.84,1868,11.49,56.8,0.0,46.702,1.6156,168.618,0.4099999999999966,0.11499999999999999,-0.010000000000019327,2.508465666498364,1,69.0,81.6,CRITICAL,69.0,57.4,MODERATE
14,,,IVD Other,,,BD Vacutainer® Plastic SST ™ II Advance Plus Blood Collection Tube,,0.0,,tur-bd-vacutainer-plastic-sst-ii-advance-plus-blood-collection-tube,TUR,13,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Diagnostic,0.0,0,0.0,IVD Other,2,1,Becton Dickinson And Company Limited,"Becton, Dickinson and Company",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,14,36.57,0.158,124.91,218.44,1426,0.13,90.3,96.4,36.608,0.1878,124.176,-0.21999999999999886,-0.032,-2.219999999999999,0.48435524153252707,0,26.5,77.9,HIGH,26.5,45.3,MODERATE
15,,,IVD A 2-List B,,,VIDAS TOXO IgM,,0.0,,tur-vidas-toxo-igm,TUR,14,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,IVD Other,2,2,bioMerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,15,48.69,1.907,167.09,211.53,1796,11.72,55.4,0.0,47.688,1.7806000000000002,165.288,0.4799999999999969,0.07800000000000007,-20.840000000000003,7.180729767927501,1,59.1,72.4,HIGH,59.1,51.2,MODERATE
16,Immunology and Microbiology Devices,,IVD Other,,,Etest PTc PIPERACILLIN/TAZOBACTAM (4mg/ml),,0.0,,tur-immunology-and-microbiology-devices-etest-ptc-piperacillin-tazobactam-4mg-ml,TUR,15,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Diagnostic,0.0,0,0.0,IVD Other,2,2,Biomerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,16,35.54,0.147,120.91,222.06,2458,0.19,91.8,99.4,35.628,0.1698,122.06199999999998,0.10999999999999943,-0.0020000000000000018,-1.1500000000000057,0.9451296207399419,0,32.8,80.0,CRITICAL,32.8,47.7,MODERATE
17,Immunology and Microbiology Devices,,IVD Other,,,Etest PIP/TAZO/CON-4 PTC 0.016-256 µg/ml,,0.0,,tur-immunology-and-microbiology-devices-etest-pip-tazo-con-4-ptc-0-016-256-g-ml,TUR,15,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Diagnostic,0.0,0,0.0,IVD Other,2,2,Biomerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,17,35.84,0.173,119.92,221.41,1839,0.37,90.8,97.3,36.138,0.1784,118.79400000000001,-0.5699999999999932,-0.0040000000000000036,0.37999999999999545,0.4490768308430826,0,14.7,79.7,HIGH,14.7,43.1,MODERATE
18,,,IVD Other,,,THIOGLYCOLATE BROTH+RESAZURIN,,0.0,,tur-thioglycolate-broth-resazurin,TUR,16,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,IVD Other,2,1,BioMerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,18,48.62,1.861,168.18,223.47,1997,11.72,56.9,0.0,47.477999999999994,1.7576,165.20999999999998,1.0,0.018999999999999906,-0.38999999999998636,4.655687919094224,1,43.9,76.2,HIGH,43.9,49.0,MODERATE
19,,,IVD Other,,,M. HINTON 2 SHEEP BLOOD 90 20PL,,0.0,,tur-m-hinton-2-sheep-blood-90-20pl,TUR,14,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Diagnostic,0.0,0,0.0,IVD Other,2,2,bioMerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,19,36.37,0.198,116.62,220.02,3049,0.71,88.4,93.7,36.102000000000004,0.16999999999999998,115.298,0.269999999999996,0.063,4.540000000000006,0.5065570056766127,0,18.8,78.1,HIGH,18.8,43.4,MODERATE
20,,,Class IIB,,,ACDA-A (Anticoagulant Citrate Dextrose Solution),,0.0,,tur-acda-a-anticoagulant-citrate-dextrose-solution,TUR,17,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIB,3,1,Biomet Inc.,Zimmer Biomet Holdings,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,20,48.41,1.814,180.68,220.66,1249,11.47,56.0,0.0,46.874,1.6008,154.01399999999998,0.7899999999999991,0.07699999999999996,23.80000000000001,2.8625635364127704,1,69.2,78.9,HIGH,69.2,60.1,HIGH
21,,,Class IIB,,,Sports Medicine and Trauma Products,,0.0,,tur-sports-medicine-and-trauma-products,TUR,18,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIB,3,1,Biomet Sports Medicine and Trauma,Zimmer Biomet Holdings,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,21,48.93,1.952,177.59,219.24,1971,11.72,56.5,0.0,47.626,1.7730000000000001,165.51000000000002,0.9600000000000009,0.10299999999999998,19.460000000000008,4.20907709599144,1,56.0,71.6,HIGH,56.0,53.9,MODERATE
22,,,Class III,,,"Vascular Guide Catheter, single-use",,0.0,,tur-vascular-guide-catheter-single-use,TUR,19,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Infusion,0.0,0,0.0,Class III,4,1,Boston Scientific,Boston Scientific,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,22,37.74,0.174,116.21,219.63,1130,0.66,92.6,92.2,37.6,0.1786,119.172,-0.11999999999999744,-0.04200000000000001,-5.38000000000001,0.3680353243915409,0,38.5,80.5,CRITICAL,38.5,56.8,MODERATE
23,,,Class III,,,Lotus Valve System,,0.0,,tur-lotus-valve-system,TUR,20,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Implantable,0.0,0,0.0,Class III,4,1,Boston Scientific Corporation,Boston Scientific,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,23,36.73,0.187,117.53,221.07,3039,0.2,88.5,94.6,36.699999999999996,0.1704,113.872,0.11999999999999744,0.026999999999999996,7.060000000000002,0.41715704476862286,0,17.2,77.0,HIGH,17.2,50.1,MODERATE
24,,,Class III,,,Codman Microcoil Delivery System and Separation Control Boxes,,0.0,,tur-codman-microcoil-delivery-system-and-separation-control-boxes,TUR,21,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class III,4,1,Codman US,Integra LifeSciences Holdings Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,24,48.68,1.905,171.67,220.39,2535,11.88,55.8,0.0,47.69,1.7795999999999998,164.334,0.509999999999998,0.062000000000000055,1.589999999999975,4.1411254508889535,1,40.7,78.0,HIGH,40.7,56.4,MODERATE
25,,,Class IIA,,,"Check-Flo® Hemostasis Unit, Flexor® Radial Access Kits, TriForce ™ Peripheral Access Set, Check-Flo® Introducer Hausdorf-Lock Atrial",,0.0,,tur-check-flo-hemostasis-unit-flexor-radial-access-kits-triforce-peripheral-access-set,TUR,22,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIA,2,1,Cook Incorporated,Cook Group Incorporated,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,25,35.54,0.171,122.52,219.94,1547,0.19,89.3,98.2,35.616,0.2002,120.80799999999999,0.0,-0.00799999999999998,2.259999999999991,0.35517601270350757,0,17.7,81.6,CRITICAL,17.7,44.6,MODERATE
26,,,Class IIB,,,Smart Flex Vascular Stent System,,0.0,,tur-smart-flex-vascular-stent-system,TUR,23,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Surgical,0.0,0,0.0,Class IIB,3,1,Cordis a Cardinal Health Company,Cardinal Health,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,26,37.43,0.213,122.72,219.01,1456,0.42,91.2,92.5,37.478,0.2082,126.06199999999998,-0.09000000000000341,0.031,-4.060000000000002,0.32307893772260093,0,23.3,77.7,HIGH,23.3,48.2,MODERATE
27,,,Class III,,,Cordis Precise Pro RX Nitinol Stent System,,0.0,,tur-cordis-precise-pro-rx-nitinol-stent-system,TUR,24,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Surgical,0.0,0,0.0,Class III,4,1,Cordis Cooperation,Cardinal Health,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,27,37.1,0.2,121.41,221.16,626,0.95,88.0,91.0,37.007999999999996,0.1826,118.86599999999999,0.490000000000002,0.05600000000000002,4.959999999999994,0.37211557344448776,0,48.5,74.4,HIGH,48.5,56.9,MODERATE
28,,,Class IIB,,,Emprint Percutaneous Antenna Thermosphere Tech,,0.0,,tur-emprint-percutaneous-antenna-thermosphere-tech,TUR,25,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Other,0.0,0,0.0,Class IIB,3,1,Covidien LLC,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,28,36.18,0.214,127.22,218.52,767,0.33,90.2,95.6,36.082,0.1772,126.46799999999999,0.13000000000000256,0.05499999999999999,0.6299999999999955,0.5303112293739662,0,25.6,73.3,HIGH,25.6,47.0,MODERATE
29,,,Class IIA,,,Endo Peanut Automatic Suture Blunt Dissector 5mm,,0.0,,tur-endo-peanut-automatic-suture-blunt-dissector-5mm,TUR,26,2022-08-04 08:28:00 UTC,2022-08-04 08:28:00 UTC,Surgical,0.0,0,0.0,Class IIA,2,1,Covidien LLC.,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,29,35.73,0.165,117.49,221.69,1057,0.57,89.0,96.6,35.66,0.16640000000000002,116.91199999999999,0.10999999999999943,0.035,0.769999999999996,0.41596874882616247,0,29.1,76.0,HIGH,29.1,45.2,MODERATE
30,,,Class III,,,METS Modular Tumour System,,0.0,,tur-mets-modular-tumour-system,TUR,58,2022-08-04 08:28:00 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class III,4,2,Stanmore Implants Worldwide Limited,Stryker,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,30,48.08,1.945,163.28,226.47,2389,11.76,56.1,0.0,47.190000000000005,1.8128,163.05,0.39000000000000057,0.05800000000000005,0.789999999999992,4.91584479006406,1,58.2,76.1,HIGH,58.2,60.0,HIGH
31,,,Class III,,,MobiCath Bi-Directional Guiding Sheath,,0.0,,tur-mobicath-bi-directional-guiding-sheath,TUR,28,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class III,4,1,Greatbatch Medical,Integer Holdings Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,31,48.91,1.918,152.24,225.86,807,12.06,56.0,0.0,47.546,1.7048,148.36599999999999,1.029999999999994,0.05699999999999994,5.740000000000009,3.9553596549492274,1,61.4,81.2,CRITICAL,61.4,62.8,HIGH
32,,,IVD Other,,,HemoCue HbA1c 501,,0.0,,tur-hemocue-hba1c-501,TUR,29,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,IVD Other,2,1,"Infopia. Co., Ltd.",Osang Healthcare Co. Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,32,48.37,1.833,165.23,220.09,1932,11.6,55.7,0.0,46.833999999999996,1.6606,163.048,0.7199999999999989,0.06099999999999994,-1.4699999999999989,2.8243583342062037,1,49.5,72.2,HIGH,49.5,48.8,MODERATE
33,,,Class IIA,,,IBC Aortic Punch,,0.0,,tur-ibc-aortic-punch,TUR,30,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class IIA,2,1,International Biophysics Corp.,International Biophysics Corporation,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,0,33,37.19,0.143,131.38,221.02,3115,0.36,88.3,93.8,37.08,0.18860000000000002,130.906,0.22999999999999687,-0.04300000000000001,1.3100000000000023,0.49073414391089715,0,48.7,1.4,LOW,48.7,22.2,LOW
34,,,Class I - other,,,Endoscopic Suction Tube,,0.0,,tur-endoscopic-suction-tube,TUR,31,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class I,1,1,Intuitive Surgical Inc.,Intuitive Surgical Inc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,34,48.86,1.892,161.63,218.95,1626,12.32,54.5,0.0,47.95399999999999,1.7559999999999998,161.90800000000002,0.259999999999998,0.08399999999999985,-9.900000000000006,3.2559222963701275,1,67.2,84.1,CRITICAL,67.2,54.2,MODERATE
35,,,IVD Other,,,iChem Velocity Automated Urine Chemistry System,,0.0,,tur-ichem-velocity-automated-urine-chemistry-system,TUR,32,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,IVD Other,2,1,IRIS International,Danaher Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,35,36.22,0.154,115.9,217.74,423,0.35,90.2,96.6,36.198,0.19319999999999998,115.968,0.060000000000002274,-0.057999999999999996,1.490000000000009,0.4521283003749779,0,18.1,75.3,HIGH,18.1,42.1,MODERATE
36,,,Class III,,,Ethicon Physiomesh Flexible Composite Mesh,,0.0,,tur-ethicon-physiomesh-flexible-composite-mesh,TUR,33,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class III,4,1,Johnson&Johnson International,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,36,47.77,1.925,172.59,224.84,2752,11.77,54.5,0.0,46.944,1.764,158.64,0.36000000000000654,0.10699999999999998,13.900000000000006,3.249733835254819,1,65.3,85.4,CRITICAL,65.3,65.5,HIGH
37,,,Class IIB,,,Skintact ECG Electrode DF31L,,0.0,,tur-skintact-ecg-electrode-df31l,TUR,34,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Monitoring,0.0,0,0.0,Class IIB,3,1,Leonhard Lang GmbH,Leonhard Lang Gmbh,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,37,49.78,1.907,158.86,227.96,2523,12.01,54.9,0.0,48.89,1.7882000000000002,164.398,0.2700000000000031,0.062000000000000055,-5.949999999999989,4.277657069004031,1,77.7,83.3,CRITICAL,77.7,64.0,HIGH
38,,,Class III,,,Perceval Sutureless Heart Valve,,0.0,,tur-perceval-sutureless-heart-valve,TUR,35,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Surgical,0.0,0,0.0,Class III,4,1,LivaNova Canada Corp.,LivaNova PLC,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,38,49.77,1.906,151.05,213.32,2990,12.17,55.8,0.0,48.958,1.7594,164.172,0.3200000000000003,0.07999999999999985,-12.039999999999992,4.0311884103822715,1,79.6,84.5,CRITICAL,79.6,68.7,HIGH
39,,,AIMDD,,,SONNET Mini Battery Slot Cable,,0.0,,tur-sonnet-mini-battery-slot-cable,TUR,36,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class IIA,2,1,MED-EL Elektromedizinische Geraete Gmbh,Med-El Elektromedizinische Geräte Gesellschaft M.B.H.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,39,36.27,0.204,118.77,220.14,1963,0.26,90.0,95.7,36.3,0.14500000000000002,118.98400000000001,0.29000000000000625,0.05299999999999999,-3.049999999999997,0.5102254403692186,0,5.2,74.8,HIGH,5.2,38.7,MODERATE
40,,,Class IIB,,,Arctic Gel Pad,,0.0,,tur-arctic-gel-pad,TUR,37,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class IIB,3,1,Medivance,"Becton, Dickinson and Company",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,40,47.94,1.824,144.64,219.1,1271,11.52,59.2,0.0,46.162,1.653,153.29000000000002,1.269999999999996,0.051000000000000156,-4.920000000000016,3.4431061557843083,1,61.0,83.6,CRITICAL,61.0,59.9,MODERATE
41,,,Class III,,,Euphora Quick Change Balloon Dilation Catheters,,0.0,,tur-euphora-quick-change-balloon-dilation-catheters,TUR,38,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Infusion,0.0,0,0.0,Class III,4,2,Medtronic Inc,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,41,36.84,0.156,120.9,220.62,1167,0.46,90.0,94.6,36.602000000000004,0.1852,121.954,0.2600000000000051,-0.04999999999999999,-2.009999999999991,0.379433788690508,0,6.3,71.3,HIGH,6.3,45.1,MODERATE
42,,,AIMDD,,,DBS Lead Kit for Deep Brain Stimulation,,0.0,,tur-dbs-lead-kit-for-deep-brain-stimulation,TUR,38,2022-08-04 08:28:01 UTC,2022-08-04 08:28:01 UTC,Other,0.0,0,0.0,Class IIA,2,2,Medtronic Inc,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,1,42,35.84,0.192,121.14,222.32,2319,0.25,91.6,97.5,36.012,0.1892,120.502,-0.05999999999999517,-0.027999999999999997,1.6099999999999994,0.3268791825736621,0,24.3,68.8,HIGH,24.3,41.1,MODERATE
